"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Categories split flaky, test and product failures so each bucket has an owner.","1","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"","103","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","countsOnlyThisTestsOrders"
"The leadership view is the Overview page once categories, history, severity and environment exist.","1","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","executiveViewNeedsFourSignals"
"Environment metadata answers which browser, base URL and build produced the report.","1","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"","87","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"","424","resetMakesTestsOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"","141","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
