"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"Environment metadata answers which browser, base URL and build produced the report.","1","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"Categories split flaky, test and product failures so each bucket has an owner.","1","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"","132","resetMakesTestsOrderIndependent()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"","58","countsOnlyThisTestsOrders()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","countsOnlyThisTestsOrders"
"The leadership view is the Overview page once categories, history, severity and environment exist.","1","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","executiveViewNeedsFourSignals"
"","107","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
